concept,subtype,source_dataset,current_matched_image,archive_image_count,selected_image_count
aardvark,animal,things,data/images/things_max/aardvark.jpg,14,14
abacus,home decor,things,data/images/things_max/abacus.jpg,14,14
accordion,musical instrument,things,data/images/things_max/accordion.jpg,14,14
acorn,fruit,things,data/images/things_max/acorn.jpg,16,16
air_conditioner,electronic device,things,data/images/things_max/air_conditioner.jpg,13,13
air_mattress,furniture,things,data/images/things_max/air_mattress.jpg,13,13
air_pump,tool,things,data/images/things_max/air_pump.jpg,13,13
airbag,part of car,things,data/images/things_max/airbag.jpg,16,16
airboat,vehicle,things,data/images/things_max/airboat.jpg,13,13
aircraft_carrier,vehicle,things,data/images/things_max/aircraft_carrier.jpg,23,23
airplane,vehicle,things,data/images/things_max/airplane.jpg,12,12
album,home decor,things,data/images/things_max/album.jpg,16,16
alligator,animal,things,data/images/things_max/alligator.jpg,14,14
almond,food,things,data/images/things_max/almond.jpg,13,13
aloe,plant,things,data/images/things_max/aloe.jpg,12,12
alpaca,animal,things,data/images/things_max/alpaca.jpg,15,15
altar,Noun,things,data/images/things_max/altar.jpg,18,18
aluminum_foil,#N/A,things,data/images/things_max/aluminum_foil.jpg,15,15
amber,Noun,things,data/images/things_max/amber.jpg,12,12
ambulance,vehicle,things,data/images/things_max/ambulance.jpg,13,13
amplifier,electronic device,things,data/images/things_max/amplifier.jpg,16,16
anchor,Noun,things,data/images/things_max/anchor.jpg,14,14
ankle,body part,things,data/images/things_max/ankle.jpg,12,12
anklet,decoration,things,data/images/things_max/anklet.jpg,12,12
ant,"animal, insect",things,data/images/things_max/ant.jpg,12,12
anteater,animal,things,data/images/things_max/anteater.jpg,12,12
antelope,animal,things,data/images/things_max/antelope.jpg,12,12
antenna,Noun,things,data/images/things_max/antenna.jpg,12,12
anvil,tool,things,data/images/things_max/anvil.jpg,13,13
appetizer,food,things,data/images/things_max/appetizer.jpg,29,29
apple,"food, fruit",things,data/images/things_max/apple.jpg,12,12
apple_tree,plant,things,data/images/things_max/apple_tree.jpg,12,12
applesauce,food,things,data/images/things_max/applesauce.jpg,16,16
apron,clothing,things,data/images/things_max/apron.jpg,13,13
aquarium,"home decor, container",things,data/images/things_max/aquarium.jpg,12,12
arch,Noun,things,data/images/things_max/arch.jpg,12,12
arm,body part,things,data/images/things_max/arm.jpg,13,13
armor,clothing,things,data/images/things_max/armor.jpg,14,14
arrow,weapon,things,data/images/things_max/arrow.jpg,15,15
artichoke,"plant, food, vegetable",things,data/images/things_max/artichoke.jpg,12,12
arugula,"plant, food, vegetable",things,data/images/things_max/arugula.jpg,13,13
ashtray,container,things,data/images/things_max/ashtray.jpg,14,14
asparagus,"plant, food, vegetable",things,data/images/things_max/asparagus.jpg,12,12
avocado,"food, fruit",things,data/images/things_max/avocado.jpg,16,16
awning,Noun,things,data/images/things_max/awning.jpg,13,13
axe,"weapon, tool",things,data/images/things_max/axe.jpg,14,14
baby,Noun,things,data/images/things_max/baby.jpg,35,35
backdrop,Noun,things,data/images/things_max/backdrop.jpg,14,14
backgammon,Noun,things,data/images/things_max/backgammon.jpg,13,13
backpack,container,things,data/images/things_max/backpack.jpg,13,13
backscratcher,tool,things,data/images/things_max/backscratcher.jpg,20,20
bacon,food,things,data/images/things_max/bacon.jpg,18,18
badge,Noun,things,data/images/things_max/badge.jpg,13,13
