concept,lancaster_word,mapping_method,resolved
aardvark,AARDVARK,exact_normalized,True
abacus,ABACUS,exact_normalized,True
accordion,ACCORDION,exact_normalized,True
acorn,ACORN,exact_normalized,True
air_conditioner,,unresolved,False
air_mattress,,unresolved,False
air_pump,,unresolved,False
airbag,AIRBAG,exact_normalized,True
airboat,AIRBOAT,exact_normalized,True
aircraft_carrier,,unresolved,False
airplane,AIRPLANE,exact_normalized,True
album,ALBUM,exact_normalized,True
alligator,ALLIGATOR,exact_normalized,True
almond,ALMOND,exact_normalized,True
aloe,ALOE,exact_normalized,True
alpaca,ALPACA,exact_normalized,True
altar,ALTAR,exact_normalized,True
aluminum_foil,,unresolved,False
amber,AMBER,exact_normalized,True
ambulance,AMBULANCE,exact_normalized,True
amplifier,AMPLIFIER,exact_normalized,True
anchor,ANCHOR,exact_normalized,True
ankle,ANKLE,exact_normalized,True
anklet,ANKLET,exact_normalized,True
ant,ANT,exact_normalized,True
anteater,ANTEATER,exact_normalized,True
antelope,ANTELOPE,exact_normalized,True
antenna,ANTENNA,exact_normalized,True
anvil,ANVIL,exact_normalized,True
appetizer,APPETIZER,exact_normalized,True
apple,APPLE,exact_normalized,True
apple_tree,,unresolved,False
applesauce,APPLESAUCE,exact_normalized,True
apron,APRON,exact_normalized,True
aquarium,AQUARIUM,exact_normalized,True
arch,ARCH,exact_normalized,True
arm,ARM,exact_normalized,True
armor,ARMOR,exact_normalized,True
arrow,ARROW,exact_normalized,True
artichoke,ARTICHOKE,exact_normalized,True
arugula,ARUGULA,exact_normalized,True
ashtray,ASHTRAY,exact_normalized,True
asparagus,ASPARAGUS,exact_normalized,True
avocado,AVOCADO,exact_normalized,True
awning,AWNING,exact_normalized,True
axe,AXE,exact_normalized,True
baby,BABY,exact_normalized,True
backdrop,BACKDROP,exact_normalized,True
backgammon,BACKGAMMON,exact_normalized,True
backpack,BACKPACK,exact_normalized,True
backscratcher,BACKSCRATCHER,exact_normalized,True
bacon,BACON,exact_normalized,True
badge,BADGE,exact_normalized,True
badger,BADGER,exact_normalized,True
bag,BAG,exact_normalized,True
bagel,BAGEL,exact_normalized,True
bagpipe,BAGPIPE,exact_normalized,True
baklava,BAKLAVA,exact_normalized,True
balance_beam,,unresolved,False
ball,BALL,exact_normalized,True
balloon,BALLOON,exact_normalized,True
ballot_box,,unresolved,False
bamboo,BAMBOO,exact_normalized,True
banana,BANANA,exact_normalized,True
banana_peel,,unresolved,False
banana_split,,unresolved,False
bandage,BANDAGE,exact_normalized,True
bandanna,BANDANNA,exact_normalized,True
banjo,BANJO,exact_normalized,True
bank,BANK,exact_normalized,True
banner,BANNER,exact_normalized,True
barbed_wire,,unresolved,False
barbell,BARBELL,exact_normalized,True
barcode,BARCODE,exact_normalized,True
bark,BARK,exact_normalized,True
barnacle,BARNACLE,exact_normalized,True
barrel,BARREL,exact_normalized,True
barrette,BARRETTE,exact_normalized,True
baseball,BASEBALL,exact_normalized,True
baseball_bat,,unresolved,False
baseball_glove,,unresolved,False
basil,BASIL,exact_normalized,True
basket,BASKET,exact_normalized,True
basketball,BASKETBALL,exact_normalized,True
basketball_hoop,,unresolved,False
bassinet,BASSINET,exact_normalized,True
bassoon,BASSOON,exact_normalized,True
bat1,,unresolved,False
bat2,,unresolved,False
bathmat,BATHMAT,exact_normalized,True
bathrobe,BATHROBE,exact_normalized,True
bathtub,BATHTUB,exact_normalized,True
