concept,concept_subtype,mismatch_concept,mismatch_subtype,mismatch_mode
aardvark,animal,whale,animal,within_subtype
abacus,home decor,aardvark,animal,cross_subtype
accordion,musical instrument,ukulele,musical instrument,within_subtype
acorn,fruit,abacus,home decor,cross_subtype
air_conditioner,electronic device,hairdryer,electronic device,within_subtype
air_mattress,furniture,accordion,musical instrument,cross_subtype
air_pump,tool,mop,tool,within_subtype
airbag,part of car,acorn,fruit,cross_subtype
airboat,vehicle,steamroller,vehicle,within_subtype
aircraft_carrier,vehicle,air_conditioner,electronic device,cross_subtype
airplane,vehicle,boat,vehicle,within_subtype
album,home decor,air_mattress,furniture,cross_subtype
alligator,animal,seal,animal,within_subtype
almond,food,air_pump,tool,cross_subtype
aloe,plant,plant,plant,within_subtype
alpaca,animal,airbag,part of car,cross_subtype
altar,Noun,gift,Noun,within_subtype
aluminum_foil,#N/A,airboat,vehicle,cross_subtype
amber,Noun,board,Noun,within_subtype
ambulance,vehicle,album,home decor,cross_subtype
amplifier,electronic device,computer,electronic device,within_subtype
anchor,Noun,alligator,animal,cross_subtype
ankle,body part,face,body part,within_subtype
anklet,decoration,almond,food,cross_subtype
ant,"animal, insect",beetle,"animal, insect",within_subtype
anteater,animal,aloe,plant,cross_subtype
antelope,animal,cheetah,animal,within_subtype
antenna,Noun,alpaca,animal,cross_subtype
anvil,tool,rake,tool,within_subtype
appetizer,food,altar,Noun,cross_subtype
apple,"food, fruit",kiwi,"food, fruit",within_subtype
apple_tree,plant,aluminum_foil,#N/A,cross_subtype
applesauce,food,dumpling,food,within_subtype
apron,clothing,amber,Noun,cross_subtype
aquarium,"home decor, container",terrarium,"home decor, container",within_subtype
arch,Noun,ambulance,vehicle,cross_subtype
arm,body part,neck,body part,within_subtype
armor,clothing,amplifier,electronic device,cross_subtype
arrow,weapon,dagger,weapon,within_subtype
artichoke,"plant, food, vegetable",anchor,Noun,cross_subtype
arugula,"plant, food, vegetable",corn,"plant, food, vegetable",within_subtype
ashtray,container,ankle,body part,cross_subtype
asparagus,"plant, food, vegetable",kale,"plant, food, vegetable",within_subtype
avocado,"food, fruit",anklet,decoration,cross_subtype
awning,Noun,trigger,Noun,within_subtype
axe,"weapon, tool",ant,"animal, insect",cross_subtype
baby,Noun,drumstick,Noun,within_subtype
backdrop,Noun,anteater,animal,cross_subtype
backgammon,Noun,cap,Noun,within_subtype
backpack,container,antelope,animal,cross_subtype
backscratcher,tool,jack,tool,within_subtype
bacon,food,antenna,Noun,cross_subtype
badge,Noun,periscope,Noun,within_subtype
badger,animal,anvil,tool,cross_subtype
bag,container,glass,container,within_subtype
bagel,food,apple,"food, fruit",cross_subtype
bagpipe,musical instrument,organ,musical instrument,within_subtype
baklava,"food, dessert",apple_tree,plant,cross_subtype
balance_beam,sports equipment,goggles,sports equipment,within_subtype
ball,"toy, sports equipment",applesauce,food,cross_subtype
balloon,toy,noisemaker,toy,within_subtype
ballot_box,container,apron,clothing,cross_subtype
bamboo,plant,tumbleweed,plant,within_subtype
banana,"food, fruit",aquarium,"home decor, container",cross_subtype
banana_peel,#N/A,toilet_paper,#N/A,within_subtype
banana_split,"food, dessert",arch,Noun,cross_subtype
bandage,medical equipment,brace,medical equipment,within_subtype
bandanna,"clothing, clothing accessory",arm,body part,cross_subtype
banjo,musical instrument,piano,musical instrument,within_subtype
bank,container,armor,clothing,cross_subtype
banner,decoration,tattoo,decoration,within_subtype
barbed_wire,#N/A,arrow,weapon,cross_subtype
barbell,sports equipment,exerciser,sports equipment,within_subtype
barcode,#N/A,artichoke,"plant, food, vegetable",cross_subtype
bark,Noun,retainer,Noun,within_subtype
barnacle,animal,arugula,"plant, food, vegetable",cross_subtype
barrel,container,laundry_basket,container,within_subtype
barrette,Noun,ashtray,container,cross_subtype
baseball,sports equipment,iceskate,sports equipment,within_subtype
baseball_bat,"weapon, sports equipment",asparagus,"plant, food, vegetable",cross_subtype
baseball_glove,sports equipment,cleat,sports equipment,within_subtype
basil,"plant, food",avocado,"food, fruit",cross_subtype
basket,container,garbage,container,within_subtype
basketball,sports equipment,awning,Noun,cross_subtype
basketball_hoop,sports equipment,golf_club,sports equipment,within_subtype
bassinet,furniture,axe,"weapon, tool",cross_subtype
bassoon,musical instrument,trumpet,musical instrument,within_subtype
bat1,animal,baby,Noun,cross_subtype
bat2,"weapon, sports equipment",baseball_bat,"weapon, sports equipment",within_subtype
bathmat,Noun,backpack,container,cross_subtype
bathrobe,clothing,sock,clothing,within_subtype
bathtub,container,backscratcher,tool,cross_subtype
baton1,Noun,propeller,Noun,within_subtype
baton2,weapon,bacon,food,cross_subtype
baton3,sports equipment,javelin,sports equipment,within_subtype
baton4,sports equipment,badge,Noun,cross_subtype
batter,food,gumball,food,within_subtype
battery,Noun,badger,animal,cross_subtype
bazooka,weapon,brass_knuckles,weapon,within_subtype
beachball,"toy, sports equipment",bag,container,cross_subtype
bead,decoration,diamond,decoration,within_subtype
beaker,container,bagel,food,cross_subtype
bean,food,meatloaf,food,within_subtype
beanbag,furniture,bagpipe,musical instrument,cross_subtype
beanie,clothing,flip_flop,clothing,within_subtype
bear,animal,baklava,"food, dessert",cross_subtype
beard,body part,elbow,body part,within_subtype
beaver,animal,balance_beam,sports equipment,cross_subtype
bed,furniture,bedpost,furniture,within_subtype
bedpan,"medical equipment, container",ball,"toy, sports equipment",cross_subtype
bedpost,furniture,bed,furniture,within_subtype
bee,"animal, insect",balloon,toy,cross_subtype
beehive,Noun,clothespin,Noun,within_subtype
beer,drink,ballot_box,container,cross_subtype
beet,"food, vegetable",green_beans,"food, vegetable",within_subtype
beetle,"animal, insect",bamboo,plant,cross_subtype
bell,musical instrument,trombone,musical instrument,within_subtype
bell_pepper,"food, vegetable",banana,"food, fruit",cross_subtype
belt,"clothing, clothing accessory",bracelet1,"clothing, clothing accessory",within_subtype
belt_buckle,clothing accessory,banana_peel,#N/A,cross_subtype
bench,furniture,rack1,furniture,within_subtype
berry,"food, fruit",banana_split,"food, dessert",cross_subtype
bib,Noun,umbrella,Noun,within_subtype
bike,vehicle,bandage,medical equipment,cross_subtype
bikini,clothing,pantyhose,clothing,within_subtype
bin,container,bandanna,"clothing, clothing accessory",cross_subtype
binder,office supply,file2,office supply,within_subtype
binoculars,Noun,banjo,musical instrument,cross_subtype
bird,"animal, bird",duck,"animal, bird",within_subtype
birdbath,"home decor, container",bank,container,cross_subtype
birdcage,"home decor, container",vase,"home decor, container",within_subtype
birdhouse,home decor,banner,decoration,cross_subtype
birthday_cake,"food, dessert",popsicle,"food, dessert",within_subtype
biscuit,food,barbed_wire,#N/A,cross_subtype
bison,animal,tiger,animal,within_subtype
blackberry,"food, fruit",barbell,sports equipment,cross_subtype
blanket,Noun,playpen,Noun,within_subtype
blazer,clothing,barcode,#N/A,cross_subtype
blender,"electronic device, kitchen appliance",food_processor,"electronic device, kitchen appliance",within_subtype
blimp,vehicle,bark,Noun,cross_subtype
blind,Adjective,blinder,Adjective,within_subtype
blinder,Adjective,barnacle,animal,cross_subtype
blindfold,Noun,collar,Noun,within_subtype
block,Noun,barrel,container,cross_subtype
blouse,clothing,chaps,clothing,within_subtype
blower,"electronic device, tool",barrette,Noun,cross_subtype
blowfish,animal,iguana,animal,within_subtype
blowgun,weapon,baseball,sports equipment,cross_subtype
blowtorch,"weapon, tool",hammer,"weapon, tool",within_subtype
blueberry,"food, fruit",baseball_bat,"weapon, sports equipment",cross_subtype
boa,"clothing, clothing accessory",bonnet,"clothing, clothing accessory",within_subtype
boar,animal,baseball_glove,sports equipment,cross_subtype
board,Noun,shell2,Noun,within_subtype
board_game,#N/A,basil,"plant, food",cross_subtype
boat,vehicle,aircraft_carrier,vehicle,within_subtype
bobsled,sports equipment,basket,container,cross_subtype
bok_choy,"plant, food, vegetable",leek,"plant, food, vegetable",within_subtype
bolo_tie,"clothing, clothing accessory",basketball,sports equipment,cross_subtype
bologna,food,waffle,food,within_subtype
bolt,Noun,basketball_hoop,sports equipment,cross_subtype
bomb,weapon,sword,weapon,within_subtype
bone,body part,bassinet,furniture,cross_subtype
bongo,musical instrument,cello,musical instrument,within_subtype
bonnet,"clothing, clothing accessory",bassoon,musical instrument,cross_subtype
bonsai,"home decor, plant",bat1,animal,within_subtype
book,Noun,bat2,"weapon, sports equipment",cross_subtype
bookmark,Noun,rust,Noun,within_subtype
bookshelf,furniture,bathmat,Noun,cross_subtype
boomerang,"weapon, toy",slingshot,"weapon, toy",within_subtype
boot,clothing,bathtub,container,cross_subtype
bottle,container,water_bottle,container,within_subtype
bottle_opener,"kitchen tool, tool",baton1,Noun,cross_subtype
boulder,Name,wick,Name,within_subtype
bouquet,decoration,baton2,weapon,cross_subtype
bow1,"clothing, clothing accessory",shawl,"clothing, clothing accessory",within_subtype
bow2,weapon,baton3,sports equipment,cross_subtype
bow3,decoration,bouquet,decoration,within_subtype
bowl,container,baton4,sports equipment,cross_subtype
bowler_hat,clothing,stockings,clothing,within_subtype
bowling_ball,sports equipment,batter,food,cross_subtype
bowtie,"clothing, clothing accessory",headdress,"clothing, clothing accessory",within_subtype
box,container,battery,Noun,cross_subtype
boxer_shorts,clothing,blouse,clothing,within_subtype
boxing_gloves,sports equipment,bazooka,weapon,cross_subtype
boy,Noun,grate,Noun,within_subtype
bra,clothing,beachball,"toy, sports equipment",cross_subtype
brace,medical equipment,cane,medical equipment,within_subtype
bracelet1,"clothing, clothing accessory",bead,decoration,cross_subtype
bracelet2,clothing accessory,patch,clothing accessory,within_subtype
bracket,Noun,beaker,container,cross_subtype
braid,Noun,manhole,Noun,within_subtype
brake,part of car,bean,food,cross_subtype
branch,Noun,battery,Noun,within_subtype
brass_knuckles,weapon,beanbag,furniture,cross_subtype
